"Url_suurEelnou"	"Url_koosolekuProtokoll"	"Id_custom"	"Tyyp_custom"	"Asutuse_nimetus"	"Organi_nimetus"	"Reg_nr"	"Sarja_indeks"	"Teema"	"Kuupaev"	"Kellaaeg"	"Toimumise_koht"	"Juhataja"	"Protokollija"	"Koosolekul_osalesid"	"Puudusid"	"Kutsutud"	"Seisund"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DD60022D85F?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DB300327851?OpenDocument"	"327"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Arengu- ja planeerimiskomisjon"	"22"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Arengu- ja planeerimiskomisjoni koosolek"	"14.01.2015"	"17:00 - 18:10"	"Tartu, raekoda"	"Verni Loodmaa"	"Aune Rumm"	"Ants Kask, Jüri-Ott Salm, Verni Loodmaa, Kadri Leetmaa, Elmut Paavel, Tarmo Punger, Paul Post, Veljo Ipits, Udo Viilukas, Toomas Kapp, Tarmo Noop; e-posti teel Artjom Suvorov, Toivo Maimets, Triin Anette Kaasik, Triin Lukk"	""	"abilinnapea Jarno Laur, linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, linnaplaneerimise ja maakorralduse osakonna üldplaneeringu- ja arenguteenistuse juhataja Indrek Ranniku, arhitektuuri ja ehituse osakonna juhataja-linnaarhitekt Tõnis Arjus, linnaplaneerimise ja maakorralduse osakonna detailplaneeringute teenistuse juhataja Aire Priks"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DD60022D85F?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DCF002CC9BC?OpenDocument"	"327"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Sotsiaalkomisjon"	"14"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Sotsiaalkomisjoni koosolek"	"15.01.2015"	"16:00 - 16:50"	"Tartu, raekoda"	"Toomas Tein"	"Ülle Saar"	"Oleg Nesterenko, Harri Jallajas, Nikolai Põdramägi, Jüri Kõre, Nadežda Aleksandrova, Piret Tarto, Avo Rosenvald, Roman Mugur, Tiina Mürk, Joel Luhamets, Hele Everaus, Lii Laanoja, elektrooniliselt  Senta-Ellinor Michelson, Tiina Talvik"	""	"abilinnapea Jarno Laur, abilinnapea Vladimir Šokman, õigusteenistuse juhataja Anneli Apuhtin"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DD60022D85F?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DCF002DB0FF?OpenDocument"	"327"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"15"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"16.01.2015"	"09:00 - 09:35"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Tõnu Ints, Marvi Kibe, Olev Raju, Raimond Tamm, Heljo Pikhof, Jüri Kõre, Peeter Laurson, Tajo Kadajas, Igor Abarenkov, elektrooniliselt Margus Maidla, Jaak Nigul, Mihkel Lees ja Väino Kull"	"Oleg Bulkin"	"abilinnapea Kajar Lember, abilinnapea Jarno Laur"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DD60022D85F?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DCD0034D326?OpenDocument"	"327"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnavarakomisjon"	"14"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnavarakomisjoni koosolek"	"15.01.2015"	"17:00 - 17:40"	"Tartu, raekoda"	"Olev Raju"	"Aune Rumm"	"Olev Raju, Väino Peebo, Harri Jallajas, Mati Tolmoff, Ester Veskimets, Ilme-Tiiu Tinni, Riina Kallas, Alo Pettai, Lembit Kalev, Roman Mugur, Arno Arukask; e-posti teel Kaspar Kokk, Triin Anette Kaasik"	"Tõnis Lukas, Karl Kull"	"abilinnapea Jarno Laur"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DD60022D85F?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DCD00336856?OpenDocument"	"327"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Kultuurikomisjon"	"14"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Kultuurikomisjoni koosolek"	"15.01.2015"	"14:30 - 16:15"	"Tartu Loodusmaja (Lille 10)"	"Nikolai Põdramägi"	"Aune Rumm"	"Nikolai Põdramägi, Mati Tolmoff, Joel Luhamets, Lemmit Kaplinski, Igor Rosenfeld, Jaan Vaiksaar, Gea Kangilaski, Natalja Trošina, Tarmo Kikerpill, Rein Kilk, Ragnar Kekkonen, Merle Jääger; e-posti teel Priit Tannik, Evert Rööpson, Martin Parmas"	""	"abilinnapea Tiia Teppan, abilinnapea Kajar Lember, abilinnapea Jarno Laur, SA Tartu Keskkonnahariduse Keskus juhataja Janika Ruusmaa, kultuuriosakonna juhataja asetäitja Marianne Menning"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DB300241AF2?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DA5003CB7F3?OpenDocument"	"328"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnavarakomisjon"	"13"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnavarakomisjoni e-koosolek"	"11.12.2014"	"00:00"	"Elektrooniline koosolek (seisukoha saatmise tähtaeg 11.12.2014 kl 17.00)"	"Olev Raju"	"Aune Rumm"	"Olev Raju, Väino Peebo, Harri Jallajas, Mati Tolmoff, Ilme-Tiiu Tinni, Riina Kallas, Alo Pettai, Kaspar Kokk, Triin Anette Kaasik, Lembit Kalev, Arno Arukask, Tõnis Lukas, Roman Mugur, Karl Kull, Ester Veskimets"	""	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DB30024121A?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DA5003C13B0?OpenDocument"	"329"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Arengu- ja planeerimiskomisjon"	"21"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Arengu- ja planeerimiskomisjoni koosolek"	"10.12.2014"	"17:00 - 18:30"	"Tartu, raekoda"	"Verni Loodmaa"	"Aune Rumm"	"Ants Kask, Jüri-Ott Salm, Verni Loodmaa, Kadri Leetmaa, Elmut Paavel, Tarmo Punger, Paul Post, Veljo Ipits, Udo Viilukas, Toomas Kapp, Triin Lukk, Tarmo Noop; e-posti teel Artjom Suvorov, Toivo Maimets, Triin Anette Kaasik"	""	"abilinnapea Valvo Semilarski, abilinnapea Jarno Laur, linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, linnaplaneerimise ja maakorralduse osakonna planeeringuteenistuse juhataja Indrek Ranniku, arhitektuuri ja ehituse osakonna arhitektuuri- ja linnakujundusteenistuse juhataja-linnaarhitekt Tõnis Arjus, linnavolikogu esimees Aadu Must"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DB30024121A?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DA5003C839D?OpenDocument"	"329"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnamajanduskomisjon"	"14"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnamajanduskomisjoni koosolek"	"10.12.2014"	"15:00 - 16:15"	"Tartu, raekoda"	"Kadri Leetmaa"	"Aune Rumm"	"Raimond Tamm, Nikolai Põdramägi, Ants Kask, Kadri Leetmaa, Martin Bek, Verni Loodmaa, Hannes Klaas, Toomas Kapp, Argo Annuk, Jaan Sõrra; e-posti teel Auli Solo, Karl Kull"	"Triin Veber, Aleksandr Litvinenko, Rain Suursaar"	"abilinnapea Valvo Semilarski, linnamajanduse osakonna juhataja Rein Haak, linnamajanduse osakonna keskkonnateenistuse juhataja Ülle Mauer"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DB300240172?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DA5003C4FA5?OpenDocument"	"330"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Kultuurikomisjon"	"13"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Kultuurikomisjoni e-koosolek"	"11.12.2014"	"00:00"	"Elektrooniline koosolek (seisukoha saatmise tähtaeg 11.12.2014 kl 15.00)"	"Nikolai Põdramägi"	"Aune Rumm"	"Nikolai Põdramägi, Mati Tolmoff, Joel Luhamets, Lemmit Kaplinski, Igor Rosenfeld, Jaan Vaiksaar, Gea Kangilaski, Natalja Trošina, Priit Tannik, Tarmo Kikerpill, Evert Rööpson, Martin Parmas, Ragnar Kekkonen"	"Rein Kilk, Merle Jääger"	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DB30023EA22?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DA5003C13B0?OpenDocument"	"331"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Arengu- ja planeerimiskomisjon"	"21"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Arengu- ja planeerimiskomisjoni koosolek"	"10.12.2014"	"17:00 - 18:30"	"Tartu, raekoda"	"Verni Loodmaa"	"Aune Rumm"	"Ants Kask, Jüri-Ott Salm, Verni Loodmaa, Kadri Leetmaa, Elmut Paavel, Tarmo Punger, Paul Post, Veljo Ipits, Udo Viilukas, Toomas Kapp, Triin Lukk, Tarmo Noop; e-posti teel Artjom Suvorov, Toivo Maimets, Triin Anette Kaasik"	""	"abilinnapea Valvo Semilarski, abilinnapea Jarno Laur, linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, linnaplaneerimise ja maakorralduse osakonna planeeringuteenistuse juhataja Indrek Ranniku, arhitektuuri ja ehituse osakonna arhitektuuri- ja linnakujundusteenistuse juhataja-linnaarhitekt Tõnis Arjus, linnavolikogu esimees Aadu Must"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DB30023E20C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DA5003C13B0?OpenDocument"	"332"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Arengu- ja planeerimiskomisjon"	"21"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Arengu- ja planeerimiskomisjoni koosolek"	"10.12.2014"	"17:00 - 18:30"	"Tartu, raekoda"	"Verni Loodmaa"	"Aune Rumm"	"Ants Kask, Jüri-Ott Salm, Verni Loodmaa, Kadri Leetmaa, Elmut Paavel, Tarmo Punger, Paul Post, Veljo Ipits, Udo Viilukas, Toomas Kapp, Triin Lukk, Tarmo Noop; e-posti teel Artjom Suvorov, Toivo Maimets, Triin Anette Kaasik"	""	"abilinnapea Valvo Semilarski, abilinnapea Jarno Laur, linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, linnaplaneerimise ja maakorralduse osakonna planeeringuteenistuse juhataja Indrek Ranniku, arhitektuuri ja ehituse osakonna arhitektuuri- ja linnakujundusteenistuse juhataja-linnaarhitekt Tõnis Arjus, linnavolikogu esimees Aadu Must"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DB30023DA2B?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DA5003C13B0?OpenDocument"	"333"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Arengu- ja planeerimiskomisjon"	"21"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Arengu- ja planeerimiskomisjoni koosolek"	"10.12.2014"	"17:00 - 18:30"	"Tartu, raekoda"	"Verni Loodmaa"	"Aune Rumm"	"Ants Kask, Jüri-Ott Salm, Verni Loodmaa, Kadri Leetmaa, Elmut Paavel, Tarmo Punger, Paul Post, Veljo Ipits, Udo Viilukas, Toomas Kapp, Triin Lukk, Tarmo Noop; e-posti teel Artjom Suvorov, Toivo Maimets, Triin Anette Kaasik"	""	"abilinnapea Valvo Semilarski, abilinnapea Jarno Laur, linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, linnaplaneerimise ja maakorralduse osakonna planeeringuteenistuse juhataja Indrek Ranniku, arhitektuuri ja ehituse osakonna arhitektuuri- ja linnakujundusteenistuse juhataja-linnaarhitekt Tõnis Arjus, linnavolikogu esimees Aadu Must"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DB30023D103?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DA5003C13B0?OpenDocument"	"334"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Arengu- ja planeerimiskomisjon"	"21"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Arengu- ja planeerimiskomisjoni koosolek"	"10.12.2014"	"17:00 - 18:30"	"Tartu, raekoda"	"Verni Loodmaa"	"Aune Rumm"	"Ants Kask, Jüri-Ott Salm, Verni Loodmaa, Kadri Leetmaa, Elmut Paavel, Tarmo Punger, Paul Post, Veljo Ipits, Udo Viilukas, Toomas Kapp, Triin Lukk, Tarmo Noop; e-posti teel Artjom Suvorov, Toivo Maimets, Triin Anette Kaasik"	""	"abilinnapea Valvo Semilarski, abilinnapea Jarno Laur, linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, linnaplaneerimise ja maakorralduse osakonna planeeringuteenistuse juhataja Indrek Ranniku, arhitektuuri ja ehituse osakonna arhitektuuri- ja linnakujundusteenistuse juhataja-linnaarhitekt Tõnis Arjus, linnavolikogu esimees Aadu Must"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257DA5002343FD?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257D9A00349DE9?OpenDocument"	"335"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnamajanduskomisjon"	"13"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnamajanduskomisjoni koosolek"	"25.11.2014"	"17:00 - 19:00"	"Tartu, raekoda"	"Kadri Leetmaa"	"Aune Rumm"	"Raimond Tamm, Nikolai Põdramägi, Ants Kask, Kadri Leetmaa, Martin Bek, Verni Loodmaa, Hannes Klaas, Aleksandr Litvinenko, Triin Veber, Karl Kull; e-posti teel Toomas Kapp, Argo Annuk, Auli Solo, Jaan Sõrra"	"Rain Suursaar"	"abilinnapea Kajar Lember, abilinnapea Valvo Semilarski, linnamajanduse osakonna juhataja Rein Haak, rahandusosakonna juhataja Külli Lust, linnaplaneerimise ja maakorralduse osakonna planeeringuteenistuse juhataja Indrek Ranniku, linnaplaneerimise ja maakorralduse osakonna planeeringuteenistuse spetsialist Aire Priks"	"Allkirjastatud"
